prop_name,iva_count,instance_count,ivas
pb_PANEL_LIGHT-FD4,16,18,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
StageSwitch,16,18,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
tggl_STAGE_LOCK_T4W-B14-S,16,18,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
ASET_ALT_WARN_Dial,16,17,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
ASET_RecoveryBeacon,16,17,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
IndicatorADV_HEAT,16,17,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
IndicatorADV_PodTemp,16,17,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
Lable_Temperature,16,17,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_AVAS_ON-OFF-FT-B2,16,17,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_GPWS_ON-OFF-SH01-B6-C2,16,17,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_WARN_HIGH_G_ON-OFF-FT-B2,16,17,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
